"","Quarter","Week","TemperatureRank","Bike_out","Customer","Daily","Subscriber","Unknown"
"1","3","1","0",0,0,0,0,0
"2","3","1","1",0,0,0,0,0
"3","3","1","2",7.96322580645161,4.32064516129032,0.00709677419354839,3.32967741935484,0.305806451612903
"4","3","1","3",8.96754098360656,5.66491803278689,0.00918032786885246,2.94196721311475,0.351475409836066
"5","3","2","0",0,0,0,0,0
"6","3","2","1",0,0,0,0,0
"7","3","2","2",7.96322580645161,4.32064516129032,0.00709677419354839,3.32967741935484,0.305806451612903
"8","3","2","3",8.96754098360656,5.66491803278689,0.00918032786885246,2.94196721311475,0.351475409836066
"9","3","3","0",0,0,0,0,0
"10","3","3","1",0,0,0,0,0
"11","3","3","2",7.96322580645161,4.32064516129032,0.00709677419354839,3.32967741935484,0.305806451612903
"12","3","3","3",8.96754098360656,5.66491803278689,0.00918032786885246,2.94196721311475,0.351475409836066
"13","3","4","0",0,0,0,0,0
"14","3","4","1",0,0,0,0,0
"15","3","4","2",7.96322580645161,4.32064516129032,0.00709677419354839,3.32967741935484,0.305806451612903
"16","3","4","3",8.96754098360656,5.66491803278689,0.00918032786885246,2.94196721311475,0.351475409836066
"17","3","5","0",0,0,0,0,0
"18","3","5","1",0,0,0,0,0
"19","3","5","2",7.96322580645161,4.32064516129032,0.00709677419354839,3.32967741935484,0.305806451612903
"20","3","5","3",8.96754098360656,5.66491803278689,0.00918032786885246,2.94196721311475,0.351475409836066
"21","3","6","0",0,0,0,0,0
"22","3","6","1",0,0,0,0,0
"23","3","6","2",7.96322580645161,4.32064516129032,0.00709677419354839,3.32967741935484,0.305806451612903
"24","3","6","3",8.96754098360656,5.66491803278689,0.00918032786885246,2.94196721311475,0.351475409836066
"25","3","7","0",0,0,0,0,0
"26","3","7","1",0,0,0,0,0
"27","3","7","2",7.96322580645161,4.32064516129032,0.00709677419354839,3.32967741935484,0.305806451612903
"28","3","7","3",8.96754098360656,5.66491803278689,0.00918032786885246,2.94196721311475,0.351475409836066
"29","3","8","0",0,0,0,0,0
"30","3","8","1",0,0,0,0,0
"31","3","8","2",7.96322580645161,4.32064516129032,0.00709677419354839,3.32967741935484,0.305806451612903
"32","3","8","3",8.96754098360656,5.66491803278689,0.00918032786885246,2.94196721311475,0.351475409836066
"33","3","9","0",0,0,0,0,0
"34","3","9","1",0,0,0,0,0
"35","3","9","2",7.96322580645161,4.32064516129032,0.00709677419354839,3.32967741935484,0.305806451612903
"36","3","9","3",8.96754098360656,5.66491803278689,0.00918032786885246,2.94196721311475,0.351475409836066
"37","3","10","0",0,0,0,0,0
"38","3","10","1",0,0,0,0,0
"39","3","10","2",7.96322580645161,4.32064516129032,0.00709677419354839,3.32967741935484,0.305806451612903
"40","3","10","3",8.96754098360656,5.66491803278689,0.00918032786885246,2.94196721311475,0.351475409836066
"41","3","11","0",0,0,0,0,0
"42","3","11","1",0,0,0,0,0
"43","3","11","2",7.96322580645161,4.32064516129032,0.00709677419354839,3.32967741935484,0.305806451612903
"44","3","11","3",8.96754098360656,5.66491803278689,0.00918032786885246,2.94196721311475,0.351475409836066
"45","3","12","0",0,0,0,0,0
"46","3","12","1",0,0,0,0,0
"47","3","12","2",7.96322580645161,4.32064516129032,0.00709677419354839,3.32967741935484,0.305806451612903
"48","3","12","3",8.96754098360656,5.66491803278689,0.00918032786885246,2.94196721311475,0.351475409836066
"49","3","13","0",0,0,0,0,0
"50","3","13","1",0,0,0,0,0
"51","3","13","2",7.96322580645161,4.32064516129032,0.00709677419354839,3.32967741935484,0.305806451612903
"52","3","13","3",8.96754098360656,5.66491803278689,0.00918032786885246,2.94196721311475,0.351475409836066
"53","3","14","0",0,0,0,0,0
"54","3","14","1",0,0,0,0,0
"55","3","14","2",7.96322580645161,4.32064516129032,0.00709677419354839,3.32967741935484,0.305806451612903
"56","3","14","3",8.96754098360656,5.66491803278689,0.00918032786885246,2.94196721311475,0.351475409836066
"57","4","15","0",1.50666666666667,0.393333333333333,0,1.04666666666667,0.0666666666666667
"58","4","15","1",2.633,1.0695,0.0045,1.4215,0.1375
"59","4","15","2",4.28862973760933,2.07371928363182,0.00541441066222407,2.01374427321949,0.195751770095793
"60","4","15","3",5.66,2.86,0,2.62,0.18
"61","4","16","0",1.50666666666667,0.393333333333333,0,1.04666666666667,0.0666666666666667
"62","4","16","1",2.633,1.0695,0.0045,1.4215,0.1375
"63","4","16","2",4.28862973760933,2.07371928363182,0.00541441066222407,2.01374427321949,0.195751770095793
"64","4","16","3",5.66,2.86,0,2.62,0.18
"65","4","17","0",1.50666666666667,0.393333333333333,0,1.04666666666667,0.0666666666666667
"66","4","17","1",2.633,1.0695,0.0045,1.4215,0.1375
"67","4","17","2",4.28862973760933,2.07371928363182,0.00541441066222407,2.01374427321949,0.195751770095793
"68","4","17","3",5.66,2.86,0,2.62,0.18
"69","4","18","0",1.50666666666667,0.393333333333333,0,1.04666666666667,0.0666666666666667
"70","4","18","1",2.633,1.0695,0.0045,1.4215,0.1375
"71","4","18","2",4.28862973760933,2.07371928363182,0.00541441066222407,2.01374427321949,0.195751770095793
"72","4","18","3",5.66,2.86,0,2.62,0.18
"73","4","19","0",1.50666666666667,0.393333333333333,0,1.04666666666667,0.0666666666666667
"74","4","19","1",2.633,1.0695,0.0045,1.4215,0.1375
"75","4","19","2",4.28862973760933,2.07371928363182,0.00541441066222407,2.01374427321949,0.195751770095793
"76","4","19","3",5.66,2.86,0,2.62,0.18
"77","4","20","0",1.50666666666667,0.393333333333333,0,1.04666666666667,0.0666666666666667
"78","4","20","1",2.633,1.0695,0.0045,1.4215,0.1375
"79","4","20","2",4.28862973760933,2.07371928363182,0.00541441066222407,2.01374427321949,0.195751770095793
"80","4","20","3",5.66,2.86,0,2.62,0.18
"81","4","21","0",1.50666666666667,0.393333333333333,0,1.04666666666667,0.0666666666666667
"82","4","21","1",2.633,1.0695,0.0045,1.4215,0.1375
"83","4","21","2",4.28862973760933,2.07371928363182,0.00541441066222407,2.01374427321949,0.195751770095793
"84","4","21","3",5.66,2.86,0,2.62,0.18
"85","4","22","0",1.50666666666667,0.393333333333333,0,1.04666666666667,0.0666666666666667
"86","4","22","1",2.633,1.0695,0.0045,1.4215,0.1375
"87","4","22","2",4.28862973760933,2.07371928363182,0.00541441066222407,2.01374427321949,0.195751770095793
"88","4","22","3",5.66,2.86,0,2.62,0.18
"89","4","23","0",1.50666666666667,0.393333333333333,0,1.04666666666667,0.0666666666666667
"90","4","23","1",2.633,1.0695,0.0045,1.4215,0.1375
"91","4","23","2",4.28862973760933,2.07371928363182,0.00541441066222407,2.01374427321949,0.195751770095793
"92","4","23","3",5.66,2.86,0,2.62,0.18
"93","4","24","0",1.50666666666667,0.393333333333333,0,1.04666666666667,0.0666666666666667
"94","4","24","1",2.633,1.0695,0.0045,1.4215,0.1375
"95","4","24","2",4.28862973760933,2.07371928363182,0.00541441066222407,2.01374427321949,0.195751770095793
"96","4","24","3",5.66,2.86,0,2.62,0.18
"97","4","25","0",1.50666666666667,0.393333333333333,0,1.04666666666667,0.0666666666666667
"98","4","25","1",2.633,1.0695,0.0045,1.4215,0.1375
"99","4","25","2",4.28862973760933,2.07371928363182,0.00541441066222407,2.01374427321949,0.195751770095793
"100","4","25","3",5.66,2.86,0,2.62,0.18
"101","4","26","0",1.50666666666667,0.393333333333333,0,1.04666666666667,0.0666666666666667
"102","4","26","1",2.633,1.0695,0.0045,1.4215,0.1375
"103","4","26","2",4.28862973760933,2.07371928363182,0.00541441066222407,2.01374427321949,0.195751770095793
"104","4","26","3",5.66,2.86,0,2.62,0.18
"105","4","27","0",1.50666666666667,0.393333333333333,0,1.04666666666667,0.0666666666666667
"106","4","27","1",2.633,1.0695,0.0045,1.4215,0.1375
"107","4","27","2",4.28862973760933,2.07371928363182,0.00541441066222407,2.01374427321949,0.195751770095793
"108","4","27","3",5.66,2.86,0,2.62,0.18
"109","1","28","0",0.684666666666667,0.162666666666667,0,0.522,0
"110","1","28","1",1.77756097560976,0.83609756097561,0.00780487804878049,0.933658536585366,0
"111","1","28","2",4.77,3.269,0.006,1.495,0
"112","1","28","3",0,0,0,0,0
"113","1","29","0",0.684666666666667,0.162666666666667,0,0.522,0
"114","1","29","1",1.77756097560976,0.83609756097561,0.00780487804878049,0.933658536585366,0
"115","1","29","2",4.77,3.269,0.006,1.495,0
"116","1","29","3",0,0,0,0,0
"117","1","30","0",0.684666666666667,0.162666666666667,0,0.522,0
"118","1","30","1",1.77756097560976,0.83609756097561,0.00780487804878049,0.933658536585366,0
"119","1","30","2",4.77,3.269,0.006,1.495,0
"120","1","30","3",0,0,0,0,0
"121","1","31","0",0.684666666666667,0.162666666666667,0,0.522,0
"122","1","31","1",1.77756097560976,0.83609756097561,0.00780487804878049,0.933658536585366,0
"123","1","31","2",4.77,3.269,0.006,1.495,0
"124","1","31","3",0,0,0,0,0
"125","1","32","0",0.684666666666667,0.162666666666667,0,0.522,0
"126","1","32","1",1.77756097560976,0.83609756097561,0.00780487804878049,0.933658536585366,0
"127","1","32","2",4.77,3.269,0.006,1.495,0
"128","1","32","3",0,0,0,0,0
"129","1","33","0",0.684666666666667,0.162666666666667,0,0.522,0
"130","1","33","1",1.77756097560976,0.83609756097561,0.00780487804878049,0.933658536585366,0
"131","1","33","2",4.77,3.269,0.006,1.495,0
"132","1","33","3",0,0,0,0,0
"133","1","34","0",0.684666666666667,0.162666666666667,0,0.522,0
"134","1","34","1",1.77756097560976,0.83609756097561,0.00780487804878049,0.933658536585366,0
"135","1","34","2",4.77,3.269,0.006,1.495,0
"136","1","34","3",0,0,0,0,0
"137","1","35","0",0.684666666666667,0.162666666666667,0,0.522,0
"138","1","35","1",1.77756097560976,0.83609756097561,0.00780487804878049,0.933658536585366,0
"139","1","35","2",4.77,3.269,0.006,1.495,0
"140","1","35","3",0,0,0,0,0
"141","1","36","0",0.684666666666667,0.162666666666667,0,0.522,0
"142","1","36","1",1.77756097560976,0.83609756097561,0.00780487804878049,0.933658536585366,0
"143","1","36","2",4.77,3.269,0.006,1.495,0
"144","1","36","3",0,0,0,0,0
"145","1","37","0",0.684666666666667,0.162666666666667,0,0.522,0
"146","1","37","1",1.77756097560976,0.83609756097561,0.00780487804878049,0.933658536585366,0
"147","1","37","2",4.77,3.269,0.006,1.495,0
"148","1","37","3",0,0,0,0,0
"149","1","38","0",0.684666666666667,0.162666666666667,0,0.522,0
"150","1","38","1",1.77756097560976,0.83609756097561,0.00780487804878049,0.933658536585366,0
"151","1","38","2",4.77,3.269,0.006,1.495,0
"152","1","38","3",0,0,0,0,0
"153","1","39","0",0.684666666666667,0.162666666666667,0,0.522,0
"154","1","39","1",1.77756097560976,0.83609756097561,0.00780487804878049,0.933658536585366,0
"155","1","39","2",4.77,3.269,0.006,1.495,0
"156","1","39","3",0,0,0,0,0
"157","1","40","0",0.684666666666667,0.162666666666667,0,0.522,0
"158","1","40","1",1.77756097560976,0.83609756097561,0.00780487804878049,0.933658536585366,0
"159","1","40","2",4.77,3.269,0.006,1.495,0
"160","1","40","3",0,0,0,0,0
